trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.53,10,1,0,0.1,median,0.1
-0.04999999999999993,10,1,0,0.1,median,0.1
0.19000000000000006,10,1,0,0.1,median,0.1
0.19999999999999996,10,1,0,0.1,median,0.1
0.25,10,1,0,0.1,median,0.1
0.26,10,1,0,0.1,median,0.1
0.41000000000000003,10,1,0,0.1,median,0.1
0.52,10,1,0,0.1,median,0.1
0.53,10,1,0,0.1,median,0.1
0.5399999999999999,10,1,0,0.1,median,0.1
-0.020000000000000018,10,1,0,0.1,chen12,0.2
0.0,10,1,0,0.1,chen12,0.2
0.020000000000000018,10,1,0,0.1,chen12,0.3
0.040000000000000036,10,1,0,0.1,chen12,0.1
0.06000000000000005,10,1,0,0.1,chen12,0.1
0.15999999999999992,10,1,0,0.1,chen12,0.1
