trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
0.9191919191919191,5,1,0,0.1,median,-0.9224242424242424,4.591532008433112,0.03488605206834698
0.9191919191919191,5,1,0,0.1,chen12,-0.9107070707070706,4.605122193196857,0.008621695855488554
0.2525252525252526,5,1,0,0.1,median,-0.3503030303030304,4.599903831419413,0.02537782248528191
0.2525252525252526,5,1,0,0.1,chen12,-0.2440404040404041,4.605122070896175,0.008621695855488555
-0.898989898989899,5,1,0,0.1,median,-0.8957575757575756,4.591554770752465,0.03488605206834698
-0.898989898989899,5,1,0,0.1,chen12,-0.9074747474747475,4.605122059675542,0.008621695855488554
0.09090909090909083,5,1,0,0.1,median,-0.2925252525252526,4.6024200689681285,0.02121208273204783
0.09090909090909083,5,1,0,0.1,chen12,-0.10101010101010095,4.605138863952537,0.006343563017417205
0.4747474747474747,5,1,0,0.1,median,-0.501010101010101,4.594896182656482,0.03148924083781611
0.4747474747474747,5,1,0,0.1,chen12,-0.4662626262626262,4.605122193196857,0.008621695855488555
mean,5,1,0,0.1,median,-0.5924040404040403,4.596061372445919,0.014316352866281926
mean,5,1,0,0.1,chen12,-0.5258989898989898,4.605125476183593,0.004517930584419834
