trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.9797979797979798,1,1,0,0.1,median,0.01
-0.8383838383838383,1,1,0,0.1,median,0.01
-0.797979797979798,1,1,0,0.1,median,0.02
-0.6363636363636364,1,1,0,0.1,median,0.01
-0.6161616161616161,1,1,0,0.1,median,0.01
-0.5353535353535354,1,1,0,0.1,median,0.01
-0.5151515151515151,1,1,0,0.1,median,0.01
-0.4545454545454546,1,1,0,0.1,median,0.01
-0.43434343434343436,1,1,0,0.1,median,0.02
-0.41414141414141414,1,1,0,0.1,median,0.01
-0.29292929292929293,1,1,0,0.1,median,0.02
-0.2727272727272727,1,1,0,0.1,median,0.01
-0.2525252525252525,1,1,0,0.1,median,0.02
-0.23232323232323238,1,1,0,0.1,median,0.01
-0.21212121212121215,1,1,0,0.1,median,0.01
-0.19191919191919193,1,1,0,0.1,median,0.01
-0.1717171717171717,1,1,0,0.1,median,0.01
-0.0505050505050505,1,1,0,0.1,median,0.01
-0.030303030303030276,1,1,0,0.1,median,0.01
0.010101010101010166,1,1,0,0.1,median,0.02
0.030303030303030276,1,1,0,0.1,median,0.03
0.07070707070707072,1,1,0,0.1,median,0.01
0.09090909090909083,1,1,0,0.1,median,0.01
0.13131313131313127,1,1,0,0.1,median,0.02
0.1515151515151516,1,1,0,0.1,median,0.01
0.1717171717171717,1,1,0,0.1,median,0.02
0.19191919191919182,1,1,0,0.1,median,0.01
0.21212121212121215,1,1,0,0.1,median,0.01
0.2727272727272727,1,1,0,0.1,median,0.02
0.29292929292929304,1,1,0,0.1,median,0.02
0.3535353535353536,1,1,0,0.1,median,0.01
0.3737373737373737,1,1,0,0.1,median,0.01
0.39393939393939403,1,1,0,0.1,median,0.01
0.43434343434343425,1,1,0,0.1,median,0.02
0.4545454545454546,1,1,0,0.1,median,0.02
0.4747474747474747,1,1,0,0.1,median,0.04
0.49494949494949503,1,1,0,0.1,median,0.01
0.5151515151515151,1,1,0,0.1,median,0.01
0.5353535353535352,1,1,0,0.1,median,0.02
0.5555555555555556,1,1,0,0.1,median,0.01
0.5757575757575757,1,1,0,0.1,median,0.03
0.6161616161616161,1,1,0,0.1,median,0.02
0.6363636363636365,1,1,0,0.1,median,0.01
0.6565656565656566,1,1,0,0.1,median,0.02
0.6767676767676767,1,1,0,0.1,median,0.01
0.696969696969697,1,1,0,0.1,median,0.03
0.7171717171717171,1,1,0,0.1,median,0.01
0.7373737373737375,1,1,0,0.1,median,0.03
0.7777777777777777,1,1,0,0.1,median,0.01
0.797979797979798,1,1,0,0.1,median,0.04
0.8181818181818181,1,1,0,0.1,median,0.02
0.8383838383838385,1,1,0,0.1,median,0.01
0.8787878787878789,1,1,0,0.1,median,0.02
0.898989898989899,1,1,0,0.1,median,0.03
0.9191919191919191,1,1,0,0.1,median,0.04
0.9595959595959596,1,1,0,0.1,median,0.02
0.9797979797979799,1,1,0,0.1,median,0.03
1.0,1,1,0,0.1,median,0.05
-0.19191919191919193,1,1,0,0.1,chen12,0.03
-0.1515151515151515,1,1,0,0.1,chen12,0.01
-0.13131313131313127,1,1,0,0.1,chen12,0.03
-0.11111111111111116,1,1,0,0.1,chen12,0.03
-0.09090909090909094,1,1,0,0.1,chen12,0.12
-0.07070707070707072,1,1,0,0.1,chen12,0.03
-0.0505050505050505,1,1,0,0.1,chen12,0.02
-0.030303030303030276,1,1,0,0.1,chen12,0.09
-0.010101010101010055,1,1,0,0.1,chen12,0.13
0.010101010101010166,1,1,0,0.1,chen12,0.05
0.030303030303030276,1,1,0,0.1,chen12,0.07
0.05050505050505061,1,1,0,0.1,chen12,0.09
0.07070707070707072,1,1,0,0.1,chen12,0.05
0.09090909090909083,1,1,0,0.1,chen12,0.08
0.11111111111111116,1,1,0,0.1,chen12,0.02
0.13131313131313127,1,1,0,0.1,chen12,0.06
0.1515151515151516,1,1,0,0.1,chen12,0.01
0.1717171717171717,1,1,0,0.1,chen12,0.01
0.19191919191919182,1,1,0,0.1,chen12,0.01
0.21212121212121215,1,1,0,0.1,chen12,0.03
0.23232323232323226,1,1,0,0.1,chen12,0.01
0.2525252525252526,1,1,0,0.1,chen12,0.01
0.2727272727272727,1,1,0,0.1,chen12,0.01
-0.6161616161616161,11,1,0,0.1,median,0.01
-0.5353535353535354,11,1,0,0.1,median,0.01
-0.4747474747474747,11,1,0,0.1,median,0.02
-0.43434343434343436,11,1,0,0.1,median,0.03
-0.41414141414141414,11,1,0,0.1,median,0.01
-0.33333333333333337,11,1,0,0.1,median,0.04
-0.31313131313131315,11,1,0,0.1,median,0.01
-0.2727272727272727,11,1,0,0.1,median,0.01
-0.2525252525252525,11,1,0,0.1,median,0.02
-0.23232323232323238,11,1,0,0.1,median,0.08
-0.21212121212121215,11,1,0,0.1,median,0.04
-0.19191919191919193,11,1,0,0.1,median,0.02
-0.1717171717171717,11,1,0,0.1,median,0.02
-0.1515151515151515,11,1,0,0.1,median,0.02
-0.13131313131313127,11,1,0,0.1,median,0.05
-0.11111111111111116,11,1,0,0.1,median,0.04
-0.09090909090909094,11,1,0,0.1,median,0.02
-0.07070707070707072,11,1,0,0.1,median,0.02
-0.0505050505050505,11,1,0,0.1,median,0.04
-0.030303030303030276,11,1,0,0.1,median,0.03
-0.010101010101010055,11,1,0,0.1,median,0.03
0.010101010101010166,11,1,0,0.1,median,0.02
0.030303030303030276,11,1,0,0.1,median,0.01
0.05050505050505061,11,1,0,0.1,median,0.01
0.07070707070707072,11,1,0,0.1,median,0.02
0.09090909090909083,11,1,0,0.1,median,0.03
0.11111111111111116,11,1,0,0.1,median,0.04
0.13131313131313127,11,1,0,0.1,median,0.07
0.1515151515151516,11,1,0,0.1,median,0.01
0.1717171717171717,11,1,0,0.1,median,0.02
0.19191919191919182,11,1,0,0.1,median,0.01
0.21212121212121215,11,1,0,0.1,median,0.01
0.23232323232323226,11,1,0,0.1,median,0.01
0.2525252525252526,11,1,0,0.1,median,0.02
0.2727272727272727,11,1,0,0.1,median,0.01
0.29292929292929304,11,1,0,0.1,median,0.04
0.33333333333333326,11,1,0,0.1,median,0.02
0.3535353535353536,11,1,0,0.1,median,0.02
0.39393939393939403,11,1,0,0.1,median,0.02
0.4545454545454546,11,1,0,0.1,median,0.01
0.5353535353535352,11,1,0,0.1,median,0.01
0.5757575757575757,11,1,0,0.1,median,0.01
0.595959595959596,11,1,0,0.1,median,0.01
-0.23232323232323238,11,1,0,0.1,chen12,0.01
-0.19191919191919193,11,1,0,0.1,chen12,0.01
-0.1515151515151515,11,1,0,0.1,chen12,0.03
-0.11111111111111116,11,1,0,0.1,chen12,0.04
-0.09090909090909094,11,1,0,0.1,chen12,0.04
-0.07070707070707072,11,1,0,0.1,chen12,0.06
-0.0505050505050505,11,1,0,0.1,chen12,0.06
-0.030303030303030276,11,1,0,0.1,chen12,0.09
-0.010101010101010055,11,1,0,0.1,chen12,0.05
0.010101010101010166,11,1,0,0.1,chen12,0.06
0.030303030303030276,11,1,0,0.1,chen12,0.07
0.05050505050505061,11,1,0,0.1,chen12,0.1
0.07070707070707072,11,1,0,0.1,chen12,0.04
0.09090909090909083,11,1,0,0.1,chen12,0.07
0.11111111111111116,11,1,0,0.1,chen12,0.06
0.13131313131313127,11,1,0,0.1,chen12,0.07
0.1515151515151516,11,1,0,0.1,chen12,0.06
0.1717171717171717,11,1,0,0.1,chen12,0.04
0.19191919191919182,11,1,0,0.1,chen12,0.02
0.23232323232323226,11,1,0,0.1,chen12,0.01
0.2525252525252526,11,1,0,0.1,chen12,0.01
-0.5353535353535354,21,1,0,0.1,median,0.01
-0.3737373737373737,21,1,0,0.1,median,0.01
-0.3535353535353535,21,1,0,0.1,median,0.01
-0.33333333333333337,21,1,0,0.1,median,0.03
-0.31313131313131315,21,1,0,0.1,median,0.01
