trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.8072289156626506,5,1,0,0.1,median,0.01
-0.7188755020080322,5,1,0,0.1,median,0.01
-0.6947791164658634,5,1,0,0.1,median,0.02
-0.5903614457831325,5,1,0,0.1,median,0.01
-0.5662650602409638,5,1,0,0.1,median,0.01
-0.5020080321285141,5,1,0,0.1,median,0.01
-0.49397590361445787,5,1,0,0.1,median,0.01
-0.4698795180722891,5,1,0,0.1,median,0.01
-0.42168674698795183,5,1,0,0.1,median,0.01
-0.4056224899598394,5,1,0,0.1,median,0.01
-0.38152610441767065,5,1,0,0.1,median,0.01
-0.37349397590361444,5,1,0,0.1,median,0.01
-0.3654618473895582,5,1,0,0.1,median,0.01
-0.3493975903614458,5,1,0,0.1,median,0.02
-0.3413654618473896,5,1,0,0.1,median,0.01
-0.32530120481927716,5,1,0,0.1,median,0.01
-0.31726907630522083,5,1,0,0.1,median,0.01
-0.285140562248996,5,1,0,0.1,median,0.01
-0.2530120481927711,5,1,0,0.1,median,0.01
-0.23694779116465858,5,1,0,0.1,median,0.01
-0.22088353413654616,5,1,0,0.1,median,0.01
-0.20481927710843373,5,1,0,0.1,median,0.01
-0.1887550200803213,5,1,0,0.1,median,0.01
-0.16465863453815266,5,1,0,0.1,median,0.01
-0.15662650602409633,5,1,0,0.1,median,0.01
-0.1405622489959839,5,1,0,0.1,median,0.02
-0.1325301204819277,5,1,0,0.1,median,0.01
-0.12449799196787148,5,1,0,0.1,median,0.01
-0.11646586345381527,5,1,0,0.1,median,0.01
-0.10040160642570284,5,1,0,0.1,median,0.03
-0.07630522088353409,5,1,0,0.1,median,0.03
-0.06827309236947787,5,1,0,0.1,median,0.01
-0.03614457831325302,5,1,0,0.1,median,0.03
-0.02008032128514059,5,1,0,0.1,median,0.01
-0.012048192771084376,5,1,0,0.1,median,0.01
-0.004016064257028162,5,1,0,0.1,median,0.01
0.02008032128514059,5,1,0,0.1,median,0.01
0.028112449799196693,5,1,0,0.1,median,0.01
0.0763052208835342,5,1,0,0.1,median,0.01
0.0843373493975903,5,1,0,0.1,median,0.01
0.09236947791164662,5,1,0,0.1,median,0.01
0.10040160642570273,5,1,0,0.1,median,0.02
0.11646586345381515,5,1,0,0.1,median,0.01
0.12449799196787148,5,1,0,0.1,median,0.03
0.1325301204819278,5,1,0,0.1,median,0.01
0.1405622489959839,5,1,0,0.1,median,0.01
0.14859437751004023,5,1,0,0.1,median,0.02
0.15662650602409633,5,1,0,0.1,median,0.01
0.16465863453815266,5,1,0,0.1,median,0.03
0.17269076305220876,5,1,0,0.1,median,0.01
0.1807228915662651,5,1,0,0.1,median,0.01
0.1887550200803212,5,1,0,0.1,median,0.04
0.19678714859437751,5,1,0,0.1,median,0.01
0.22891566265060237,5,1,0,0.1,median,0.02
0.2369477911646587,5,1,0,0.1,median,0.01
0.2449799196787148,5,1,0,0.1,median,0.01
0.2530120481927711,5,1,0,0.1,median,0.01
0.2610441767068272,5,1,0,0.1,median,0.01
0.285140562248996,5,1,0,0.1,median,0.01
0.2931726907630523,5,1,0,0.1,median,0.02
0.31726907630522083,5,1,0,0.1,median,0.01
0.32530120481927716,5,1,0,0.1,median,0.01
0.3493975903614457,5,1,0,0.1,median,0.01
0.357429718875502,5,1,0,0.1,median,0.01
0.36546184738955834,5,1,0,0.1,median,0.02
0.38152610441767076,5,1,0,0.1,median,0.01
0.3975903614457832,5,1,0,0.1,median,0.01
0.4136546184738956,5,1,0,0.1,median,0.01
0.48594377510040165,5,1,0,0.1,median,0.02
0.49397590361445776,5,1,0,0.1,median,0.02
0.5020080321285141,5,1,0,0.1,median,0.01
0.5421686746987953,5,1,0,0.1,median,0.02
0.5903614457831325,5,1,0,0.1,median,0.01
0.606425702811245,5,1,0,0.1,median,0.02
0.7349397590361446,5,1,0,0.1,median,0.01
-0.1405622489959839,5,1,0,0.1,chen12,0.01
-0.1325301204819277,5,1,0,0.1,chen12,0.01
-0.11646586345381527,5,1,0,0.1,chen12,0.01
-0.10843373493975905,5,1,0,0.1,chen12,0.01
-0.10040160642570284,5,1,0,0.1,chen12,0.02
-0.08433734939759041,5,1,0,0.1,chen12,0.01
-0.07630522088353409,5,1,0,0.1,chen12,0.03
-0.06827309236947787,5,1,0,0.1,chen12,0.03
-0.052208835341365445,5,1,0,0.1,chen12,0.04
-0.04417670682730923,5,1,0,0.1,chen12,0.06
-0.03614457831325302,5,1,0,0.1,chen12,0.04
-0.028112449799196804,5,1,0,0.1,chen12,0.03
-0.02008032128514059,5,1,0,0.1,chen12,0.06
-0.012048192771084376,5,1,0,0.1,chen12,0.04
-0.004016064257028162,5,1,0,0.1,chen12,0.05
0.004016064257028162,5,1,0,0.1,chen12,0.07
0.012048192771084265,5,1,0,0.1,chen12,0.04
0.02008032128514059,5,1,0,0.1,chen12,0.02
0.028112449799196693,5,1,0,0.1,chen12,0.03
0.03614457831325302,5,1,0,0.1,chen12,0.05
0.04417670682730934,5,1,0,0.1,chen12,0.04
0.052208835341365445,5,1,0,0.1,chen12,0.05
0.06024096385542177,5,1,0,0.1,chen12,0.04
0.06827309236947787,5,1,0,0.1,chen12,0.04
0.0763052208835342,5,1,0,0.1,chen12,0.05
0.0843373493975903,5,1,0,0.1,chen12,0.03
0.09236947791164662,5,1,0,0.1,chen12,0.01
0.10040160642570273,5,1,0,0.1,chen12,0.01
0.10843373493975905,5,1,0,0.1,chen12,0.01
0.11646586345381515,5,1,0,0.1,chen12,0.02
0.1325301204819278,5,1,0,0.1,chen12,0.01
0.15662650602409633,5,1,0,0.1,chen12,0.02
0.16465863453815266,5,1,0,0.1,chen12,0.01
