trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.09999999999999998,9,0.0,0,0.1,median,-0.22400000000000003,2.9957322735539904,0.020450916849862742
-0.09999999999999998,9,0.0,0,0.1,chen12,-0.14700000000000002,2.9957322735539904,0.011870551798463289
-0.5,9,0.0,0,0.1,median,-0.484,2.9957322735539904,0.027448861542876422
-0.5,9,0.0,0,0.1,chen12,-0.4890000000000001,2.9957322735539904,0.016667033329300092
-0.09999999999999998,9,0.0,0,0.1,median,-0.22400000000000003,2.9957322735539904,0.020450916849862742
-0.09999999999999998,9,0.0,0,0.1,chen12,-0.14700000000000002,2.9957322735539904,0.011870551798463289
0.0,9,0.0,0,0.1,median,-0.23200000000000004,2.9957322735539904,0.01837824801225623
0.0,9,0.0,0,0.1,chen12,-0.13299999999999998,2.9957322735539904,0.01010494928240612
0.0,9,0.0,0,0.1,median,-0.23200000000000004,2.9957322735539904,0.01837824801225623
0.0,9,0.0,0,0.1,chen12,-0.13299999999999998,2.9957322735539904,0.01010494928240612
0.0,9,0.0,0,0.1,median,-0.23200000000000004,2.9957322735539904,0.01837824801225623
0.0,9,0.0,0,0.1,chen12,-0.13299999999999998,2.9957322735539904,0.01010494928240612
-0.4,9,0.0,0,0.1,median,-0.3960000000000001,2.9957322735539904,0.026150334605889846
-0.4,9,0.0,0,0.1,chen12,-0.391,2.9957322735539904,0.016192282112166896
0.5,9,0.0,0,0.1,median,-0.542,2.9957322735539904,0.026802238712465794
0.5,9,0.0,0,0.1,chen12,-0.5109999999999999,2.9957322735539904,0.016667033329300092
0.7,9,0.0,0,0.1,median,-0.73,2.9957322735539904,0.02896549671592048
0.7,9,0.0,0,0.1,chen12,-0.711,2.9957322735539904,0.01666703332930009
mean,9,0.0,0,0.1,median,-0.3662222222222222,2.9957322735539904,0.011676630665723043
mean,9,0.0,0,0.1,chen12,-0.3105555555555556,2.9957322735539904,0.005466790874831028
-0.09999999999999998,9,0.1,0,0.1,median,-0.223,2.995726061984007,0.02053557888154118
-0.09999999999999998,9,0.1,0,0.1,chen12,-0.14700000000000002,2.995731546701854,0.011870551798463289
-0.5,9,0.1,0,0.1,median,-0.483,2.9956964706682743,0.027461063344306248
-0.5,9,0.1,0,0.1,chen12,-0.4890000000000001,2.9957308649647647,0.016667033329300092
-0.09999999999999998,9,0.1,0,0.1,median,-0.223,2.995726061984007,0.02053557888154118
-0.09999999999999998,9,0.1,0,0.1,chen12,-0.14700000000000002,2.995731546701854,0.011870551798463289
0.0,9,0.1,0,0.1,median,-0.233,2.995724891976661,0.018278676100855883
0.0,9,0.1,0,0.1,chen12,-0.13299999999999998,2.995731736019014,0.01010494928240612
0.0,9,0.1,0,0.1,median,-0.233,2.995724891976661,0.018278676100855883
0.0,9,0.1,0,0.1,chen12,-0.13299999999999998,2.995731736019014,0.01010494928240612
0.0,9,0.1,0,0.1,median,-0.233,2.995724891976661,0.018278676100855883
0.0,9,0.1,0,0.1,chen12,-0.13299999999999998,2.995731736019014,0.01010494928240612
-0.4,9,0.1,0,0.1,median,-0.395,2.9957044167831044,0.02616772821625905
-0.4,9,0.1,0,0.1,chen12,-0.391,2.995730900197356,0.016192282112166896
0.5,9,0.1,0,0.1,median,-0.5429999999999999,2.9956909029242933,0.026805036840116453
0.5,9,0.1,0,0.1,chen12,-0.5109999999999999,2.9957308658690986,0.016667033329300092
0.7,9,0.1,0,0.1,median,-0.7310000000000001,2.995688099975468,0.02897222808138856
0.7,9,0.1,0,0.1,chen12,-0.711,2.995730865869098,0.01666703332930009
mean,9,0.1,0,0.1,median,-0.36633333333333334,2.995711854472126,0.011666619047521866
mean,9,0.1,0,0.1,chen12,-0.3105555555555556,2.9957313109290076,0.005466790874831028
-0.09999999999999998,9,0.2,0,0.1,median,-0.22400000000000003,2.995707367941891,0.020450916849862742
-0.09999999999999998,9,0.2,0,0.1,chen12,-0.14700000000000002,2.99572936728687,0.011870551798463289
-0.5,9,0.2,0,0.1,median,-0.484,2.9955891231474148,0.02744886154287642
-0.5,9,0.2,0,0.1,chen12,-0.4890000000000001,2.9957266373937106,0.016667033329300092
-0.09999999999999998,9,0.2,0,0.1,median,-0.22400000000000003,2.995707367941891,0.020450916849862742
-0.09999999999999998,9,0.2,0,0.1,chen12,-0.14700000000000002,2.99572936728687,0.011870551798463289
0.0,9,0.2,0,0.1,median,-0.23200000000000004,2.9957027059812322,0.01837824801225623
0.0,9,0.2,0,0.1,chen12,-0.13299999999999998,2.9957301238241967,0.01010494928240612
0.0,9,0.2,0,0.1,median,-0.23200000000000004,2.9957027059812322,0.01837824801225623
0.0,9,0.2,0,0.1,chen12,-0.13299999999999998,2.9957301238241967,0.01010494928240612
0.0,9,0.2,0,0.1,median,-0.23200000000000004,2.9957027059812322,0.01837824801225623
0.0,9,0.2,0,0.1,chen12,-0.13299999999999998,2.9957301238241967,0.01010494928240612
-0.4,9,0.2,0,0.1,median,-0.3960000000000001,2.9956209252472457,0.026150334605889846
-0.4,9,0.2,0,0.1,chen12,-0.391,2.9957267784548938,0.016192282112166896
0.5,9,0.2,0,0.1,median,-0.542,2.995566888829574,0.026802238712465794
0.5,9,0.2,0,0.1,chen12,-0.5109999999999999,2.995726644628363,0.016667033329300092
0.7,9,0.2,0,0.1,median,-0.73,2.9955556479716483,0.02896549671592048
0.7,9,0.2,0,0.1,chen12,-0.711,2.9957266446283626,0.01666703332930009
mean,9,0.2,0,0.1,median,-0.3662222222222222,2.9956506043359292,0.011676630665723043
mean,9,0.2,0,0.1,chen12,-0.3105555555555556,2.995728423461296,0.005466790874831028
-0.09999999999999998,9,0.3,0,0.1,median,-0.22400000000000003,2.995676102428604,0.020450916849862742
-0.09999999999999998,9,0.3,0,0.1,chen12,-0.14700000000000002,2.995725737021117,0.011870551798463289
-0.5,9,0.3,0,0.1,median,-0.484,2.995410342742909,0.02744886154287642
-0.5,9,0.3,0,0.1,chen12,-0.4890000000000001,2.9957195881437344,0.016667033329300092
-0.09999999999999998,9,0.3,0,0.1,median,-0.22400000000000003,2.995676102428604,0.020450916849862742
-0.09999999999999998,9,0.3,0,0.1,chen12,-0.14700000000000002,2.995725737021117,0.011870551798463289
0.0,9,0.3,0,0.1,median,-0.23200000000000004,2.995665653891522,0.01837824801225623
0.0,9,0.3,0,0.1,chen12,-0.13299999999999998,2.995727437584761,0.01010494928240612
0.0,9,0.3,0,0.1,median,-0.23200000000000004,2.995665653891522,0.01837824801225623
0.0,9,0.3,0,0.1,chen12,-0.13299999999999998,2.995727437584761,0.01010494928240612
0.0,9,0.3,0,0.1,median,-0.23200000000000004,2.995665653891522,0.01837824801225623
