trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.09999999999999998,9,1,0,0.001,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.001,chen12,-0.129,2.9956940892618094,0.00992924971989324
-0.5,9,1,0,0.001,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,0.001,chen12,-0.485,2.99566715869395,0.01388344337691482
-0.09999999999999998,9,1,0,0.001,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.001,chen12,-0.129,2.9956940892618094,0.00992924971989324
0.0,9,1,0,0.001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.001,chen12,-0.10700000000000001,2.9956795032789834,0.008972736483370053
0.0,9,1,0,0.001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.001,chen12,-0.10700000000000001,2.9956795032789834,0.008972736483370053
0.0,9,1,0,0.001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.001,chen12,-0.10700000000000001,2.9956795032789834,0.008972736483370053
-0.4,9,1,0,0.001,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,0.001,chen12,-0.385,2.9956681097726867,0.01388344337691482
0.5,9,1,0,0.001,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,0.001,chen12,-0.515,2.9956657958168726,0.01388344337691482
0.7,9,1,0,0.001,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,0.001,chen12,-0.7150000000000002,2.9956657958168726,0.01388344337691482
mean,9,1,0,0.001,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,0.001,chen12,-0.29766666666666663,2.9956770609401056,0.004475709475451012
-0.09999999999999998,9,1,0,0.01,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.01,chen12,-0.138,2.995704976638457,0.009977975746613136
-0.5,9,1,0,0.01,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,0.01,chen12,-0.484,2.995674649291191,0.014813507349712962
-0.09999999999999998,9,1,0,0.01,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.01,chen12,-0.138,2.995704976638457,0.009977975746613136
0.0,9,1,0,0.01,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.01,chen12,-0.11199999999999999,2.995671713170425,0.009826494797230597
0.0,9,1,0,0.01,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.01,chen12,-0.11199999999999999,2.995671713170425,0.009826494797230597
0.0,9,1,0,0.01,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.01,chen12,-0.11199999999999999,2.995671713170425,0.009826494797230597
-0.4,9,1,0,0.01,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,0.01,chen12,-0.384,2.995675125117135,0.014813507349712962
0.5,9,1,0,0.01,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,0.01,chen12,-0.5159999999999999,2.99567375911195,0.014813507349712962
0.7,9,1,0,0.01,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,0.01,chen12,-0.7160000000000001,2.99567375911195,0.014813507349712962
mean,9,1,0,0.01,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,0.01,chen12,-0.3013333333333333,2.995680265046713,0.004823502134290621
-0.09999999999999998,9,1,0,0.1,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.1,chen12,-0.14700000000000002,2.9956598451256933,0.011870551798463289
