trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.7,9,1,0,1e-05,median,0.01
-0.6,9,1,0,1e-05,median,0.04
-0.5,9,1,0,1e-05,median,0.01
-0.4,9,1,0,1e-05,median,0.02
-0.30000000000000004,9,1,0,1e-05,median,0.13
-0.19999999999999996,9,1,0,1e-05,median,0.07
-0.09999999999999998,9,1,0,1e-05,median,0.2
0.0,9,1,0,1e-05,median,0.12
0.10000000000000009,9,1,0,1e-05,median,0.09
0.19999999999999996,9,1,0,1e-05,median,0.15
0.30000000000000004,9,1,0,1e-05,median,0.04
0.3999999999999999,9,1,0,1e-05,median,0.04
0.5,9,1,0,1e-05,median,0.04
0.6000000000000001,9,1,0,1e-05,median,0.04
-0.4,9,1,0,1e-05,chen12,0.02
-0.30000000000000004,9,1,0,1e-05,chen12,0.02
-0.19999999999999996,9,1,0,1e-05,chen12,0.14
-0.09999999999999998,9,1,0,1e-05,chen12,0.21
0.0,9,1,0,1e-05,chen12,0.28
0.10000000000000009,9,1,0,1e-05,chen12,0.22
0.19999999999999996,9,1,0,1e-05,chen12,0.1
0.30000000000000004,9,1,0,1e-05,chen12,0.01
-0.7,9,1,0,0.0001,median,0.01
-0.6,9,1,0,0.0001,median,0.04
-0.5,9,1,0,0.0001,median,0.01
-0.4,9,1,0,0.0001,median,0.03
-0.30000000000000004,9,1,0,0.0001,median,0.13
-0.19999999999999996,9,1,0,0.0001,median,0.08
-0.09999999999999998,9,1,0,0.0001,median,0.21
0.0,9,1,0,0.0001,median,0.12
0.10000000000000009,9,1,0,0.0001,median,0.09
0.19999999999999996,9,1,0,0.0001,median,0.13
0.30000000000000004,9,1,0,0.0001,median,0.05
0.3999999999999999,9,1,0,0.0001,median,0.04
0.5,9,1,0,0.0001,median,0.04
0.6000000000000001,9,1,0,0.0001,median,0.02
-0.4,9,1,0,0.0001,chen12,0.02
-0.30000000000000004,9,1,0,0.0001,chen12,0.02
-0.19999999999999996,9,1,0,0.0001,chen12,0.13
-0.09999999999999998,9,1,0,0.0001,chen12,0.22
0.0,9,1,0,0.0001,chen12,0.28
0.10000000000000009,9,1,0,0.0001,chen12,0.22
0.19999999999999996,9,1,0,0.0001,chen12,0.1
0.30000000000000004,9,1,0,0.0001,chen12,0.01
-0.7,9,1,0,0.001,median,0.01
-0.6,9,1,0,0.001,median,0.04
-0.5,9,1,0,0.001,median,0.01
-0.4,9,1,0,0.001,median,0.03
-0.30000000000000004,9,1,0,0.001,median,0.13
-0.19999999999999996,9,1,0,0.001,median,0.08
-0.09999999999999998,9,1,0,0.001,median,0.21
0.0,9,1,0,0.001,median,0.12
0.10000000000000009,9,1,0,0.001,median,0.09
0.19999999999999996,9,1,0,0.001,median,0.13
0.30000000000000004,9,1,0,0.001,median,0.05
0.3999999999999999,9,1,0,0.001,median,0.04
0.5,9,1,0,0.001,median,0.04
0.6000000000000001,9,1,0,0.001,median,0.02
-0.4,9,1,0,0.001,chen12,0.02
-0.30000000000000004,9,1,0,0.001,chen12,0.02
-0.19999999999999996,9,1,0,0.001,chen12,0.12
-0.09999999999999998,9,1,0,0.001,chen12,0.23
0.0,9,1,0,0.001,chen12,0.28
0.10000000000000009,9,1,0,0.001,chen12,0.21
0.19999999999999996,9,1,0,0.001,chen12,0.11
0.30000000000000004,9,1,0,0.001,chen12,0.01
-0.7,9,1,0,0.01,median,0.01
-0.6,9,1,0,0.01,median,0.04
-0.5,9,1,0,0.01,median,0.01
-0.4,9,1,0,0.01,median,0.03
-0.30000000000000004,9,1,0,0.01,median,0.13
-0.19999999999999996,9,1,0,0.01,median,0.08
-0.09999999999999998,9,1,0,0.01,median,0.21
0.0,9,1,0,0.01,median,0.12
0.10000000000000009,9,1,0,0.01,median,0.09
0.19999999999999996,9,1,0,0.01,median,0.13
0.30000000000000004,9,1,0,0.01,median,0.05
0.3999999999999999,9,1,0,0.01,median,0.04
0.5,9,1,0,0.01,median,0.04
0.6000000000000001,9,1,0,0.01,median,0.02
-0.4,9,1,0,0.01,chen12,0.03
-0.30000000000000004,9,1,0,0.01,chen12,0.03
-0.19999999999999996,9,1,0,0.01,chen12,0.12
-0.09999999999999998,9,1,0,0.01,chen12,0.19
0.0,9,1,0,0.01,chen12,0.3
0.10000000000000009,9,1,0,0.01,chen12,0.19
0.19999999999999996,9,1,0,0.01,chen12,0.13
0.30000000000000004,9,1,0,0.01,chen12,0.01
-0.7,9,1,0,0.1,median,0.01
-0.6,9,1,0,0.1,median,0.04
-0.5,9,1,0,0.1,median,0.01
-0.4,9,1,0,0.1,median,0.03
-0.30000000000000004,9,1,0,0.1,median,0.13
-0.19999999999999996,9,1,0,0.1,median,0.08
-0.09999999999999998,9,1,0,0.1,median,0.21
0.0,9,1,0,0.1,median,0.12
0.10000000000000009,9,1,0,0.1,median,0.09
0.19999999999999996,9,1,0,0.1,median,0.13
0.30000000000000004,9,1,0,0.1,median,0.05
0.3999999999999999,9,1,0,0.1,median,0.04
0.5,9,1,0,0.1,median,0.04
0.6000000000000001,9,1,0,0.1,median,0.02
-0.5,9,1,0,0.1,chen12,0.01
-0.4,9,1,0,0.1,chen12,0.02
-0.30000000000000004,9,1,0,0.1,chen12,0.02
-0.19999999999999996,9,1,0,0.1,chen12,0.15
-0.09999999999999998,9,1,0,0.1,chen12,0.23
0.0,9,1,0,0.1,chen12,0.2
0.10000000000000009,9,1,0,0.1,chen12,0.18
0.19999999999999996,9,1,0,0.1,chen12,0.15
0.30000000000000004,9,1,0,0.1,chen12,0.03
0.3999999999999999,9,1,0,0.1,chen12,0.01
-0.7,9,1,0,1.0,median,0.01
-0.6,9,1,0,1.0,median,0.04
-0.5,9,1,0,1.0,median,0.01
-0.4,9,1,0,1.0,median,0.03
-0.30000000000000004,9,1,0,1.0,median,0.13
-0.19999999999999996,9,1,0,1.0,median,0.08
-0.09999999999999998,9,1,0,1.0,median,0.21
0.0,9,1,0,1.0,median,0.12
0.10000000000000009,9,1,0,1.0,median,0.09
0.19999999999999996,9,1,0,1.0,median,0.13
0.30000000000000004,9,1,0,1.0,median,0.05
0.3999999999999999,9,1,0,1.0,median,0.04
0.5,9,1,0,1.0,median,0.04
0.6000000000000001,9,1,0,1.0,median,0.02
-0.4,9,1,0,1.0,chen12,0.04
-0.30000000000000004,9,1,0,1.0,chen12,0.09
-0.19999999999999996,9,1,0,1.0,chen12,0.1
-0.09999999999999998,9,1,0,1.0,chen12,0.18
