trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.052631578947368474,1,1,0,0.1,median,-0.4978947368421053,2.949885113944805,0.034104450932498566
-0.052631578947368474,1,1,0,0.1,chen12,-0.14947368421052631,2.995632777072279,0.01201845303258281
mean,1,1,0,0.1,median,-0.4978947368421053,2.949885113944805,0.034104450932498566
mean,1,1,0,0.1,chen12,-0.14947368421052631,2.995632777072279,0.01201845303258281
-0.052631578947368474,3,1,0,0.1,median,-0.3789473684210526,2.990306425105964,0.025481512498758324
-0.052631578947368474,3,1,0,0.1,chen12,-0.1536842105263158,2.9956956263637573,0.01222322388799561
-0.4736842105263158,3,1,0,0.1,median,-0.5157894736842106,2.9816658653745294,0.03825848809555
-0.4736842105263158,3,1,0,0.1,chen12,-0.5326315789473683,2.9956422159825356,0.01615849475998886
-0.052631578947368474,3,1,0,0.1,median,-0.3789473684210526,2.990306425105964,0.025481512498758324
-0.052631578947368474,3,1,0,0.1,chen12,-0.1536842105263158,2.9956956263637573,0.01222322388799561
mean,3,1,0,0.1,median,-0.42456140350877186,2.987426238528819,0.025652458563416476
mean,3,1,0,0.1,chen12,-0.28,2.99567782290335,0.012767109173143536
-0.052631578947368474,5,1,0,0.1,median,-0.2736842105263158,2.993709895104946,0.02146955584670646
-0.052631578947368474,5,1,0,0.1,chen12,-0.1368421052631579,2.9956442391194456,0.011385951396202071
-0.4736842105263158,5,1,0,0.1,median,-0.4884210526315789,2.987221324391889,0.031980603539803365
-0.4736842105263158,5,1,0,0.1,chen12,-0.4947368421052631,2.9955549745990546,0.016205057177200687
-0.052631578947368474,5,1,0,0.1,median,-0.2736842105263158,2.993709895104946,0.02146955584670646
-0.052631578947368474,5,1,0,0.1,chen12,-0.1368421052631579,2.9956442391194456,0.011385951396202071
0.05263157894736836,5,1,0,0.1,median,-0.2863157894736842,2.993283931706758,0.019865475557196546
0.05263157894736836,5,1,0,0.1,chen12,-0.12631578947368421,2.9956944128872465,0.01063105782985482
0.05263157894736836,5,1,0,0.1,median,-0.2863157894736842,2.993283931706758,0.019865475557196546
0.05263157894736836,5,1,0,0.1,chen12,-0.12631578947368421,2.9956944128872465,0.01063105782985482
mean,5,1,0,0.1,median,-0.3216842105263158,2.9922417956030594,0.018849054878324646
mean,5,1,0,0.1,chen12,-0.2042105263157895,2.9956464557224876,0.00908195983584126
-0.052631578947368474,7,1,0,0.1,median,-0.26947368421052625,2.9949461370670463,0.021844070932476096
-0.052631578947368474,7,1,0,0.1,chen12,-0.15789473684210528,2.995668933284751,0.012762479634718044
-0.4736842105263158,7,1,0,0.1,median,-0.52,2.992603882224856,0.02897395907895815
-0.4736842105263158,7,1,0,0.1,chen12,-0.5284210526315789,2.995605088524411,0.01723103558285508
-0.052631578947368474,7,1,0,0.1,median,-0.26947368421052625,2.9949461370670463,0.021844070932476096
-0.052631578947368474,7,1,0,0.1,chen12,-0.15789473684210528,2.995668933284751,0.012762479634718044
0.05263157894736836,7,1,0,0.1,median,-0.2694736842105263,2.994880798752012,0.021121991008309908
0.05263157894736836,7,1,0,0.1,chen12,-0.13263157894736843,2.9956690876714536,0.011001888530908565
0.05263157894736836,7,1,0,0.1,median,-0.2694736842105263,2.994880798752012,0.021121991008309908
0.05263157894736836,7,1,0,0.1,chen12,-0.13263157894736843,2.9956690876714536,0.011001888530908565
0.05263157894736836,7,1,0,0.1,median,-0.2694736842105263,2.994880798752012,0.021121991008309908
0.05263157894736836,7,1,0,0.1,chen12,-0.13263157894736843,2.9956690876714536,0.011001888530908565
-0.368421052631579,7,1,0,0.1,median,-0.4357894736842105,2.9931081025118256,0.026961345059618648
-0.368421052631579,7,1,0,0.1,chen12,-0.4231578947368421,2.9956165888183466,0.01723103558285508
mean,7,1,0,0.1,median,-0.32902255639097744,2.9943209507324013,0.018661502668225017
mean,7,1,0,0.1,chen12,-0.23789473684210535,2.995652400989517,0.010427853133753832
-0.052631578947368474,9,1,0,0.1,median,-0.22842105263157894,2.9952186209776754,0.019583191390617392
-0.052631578947368474,9,1,0,0.1,chen12,-0.15473684210526314,2.995652037083097,0.012495317682592936
